C:\Users\jnajmon\PycharmProjects\ANN_derivatives_TO\venv\Scripts\python.exe "C:\Program Files\JetBrains\PyCharm 2021.2.3\plugins\python\helpers\pydev\pydevconsole.py" --mode=client --port=59645
import sys; print('Python %s on %s' % (sys.version, sys.platform))
sys.path.extend(['C:\\Users\\jnajmon\\PycharmProjects\\ANN_derivatives_TO', 'C:/Users/jnajmon/PycharmProjects/ANN_derivatives_TO'])
Python 3.9.5 (tags/v3.9.5:0a7dcbd, May  3 2021, 17:27:52) [MSC v.1928 64 bit (AMD64)]
Type 'copyright', 'credits' or 'license' for more information
IPython 8.14.0 -- An enhanced Interactive Python. Type '?' for help.
PyDev console: using IPython 8.14.0
Python 3.9.5 (tags/v3.9.5:0a7dcbd, May  3 2021, 17:27:52) [MSC v.1928 64 bit (AMD64)] on win32
runfile('C:/Users/jnajmon/PycharmProjects/ANN_derivatives_TO/Run_HBTO_ANN.py', wdir='C:/Users/jnajmon/PycharmProjects/ANN_derivatives_TO')
2023-07-05 21:54:18.766368: W tensorflow/tsl/framework/cpu_allocator_impl.cc:83] Allocation of 6635520000 exceeds 10% of free system memory.
2023-07-05 21:54:19.371547: W tensorflow/tsl/framework/cpu_allocator_impl.cc:83] Allocation of 6635520000 exceeds 10% of free system memory.
2023-07-05 21:54:31.910016: W tensorflow/tsl/framework/cpu_allocator_impl.cc:83] Allocation of 6635520000 exceeds 10% of free system memory.
2023-07-05 21:54:32.496056: W tensorflow/tsl/framework/cpu_allocator_impl.cc:83] Allocation of 6635520000 exceeds 10% of free system memory.
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  | penalty  |barrier param|CG stop|
|  73   |  72   | 1144  | +1.0675e+02 | 1.39e+02 | 1.09e-02 | 5.34e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  74   |  73   | 1152  | +1.0667e+02 | 1.39e+02 | 1.09e-02 | 5.19e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  75   |  74   | 1160  | +1.0659e+02 | 1.39e+02 | 1.09e-02 | 5.03e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  76   |  75   | 1168  | +1.0651e+02 | 1.39e+02 | 1.10e-02 | 4.88e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  77   |  76   | 1176  | +1.0643e+02 | 1.39e+02 | 1.10e-02 | 4.73e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  78   |  77   | 1184  | +1.0636e+02 | 1.39e+02 | 1.10e-02 | 4.59e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  79   |  78   | 1192  | +1.0629e+02 | 1.39e+02 | 1.11e-02 | 4.45e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  80   |  79   | 1200  | +1.0622e+02 | 1.39e+02 | 1.11e-02 | 4.33e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  81   |  80   | 1208  | +1.0615e+02 | 1.39e+02 | 1.11e-02 | 4.22e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  82   |  81   | 1216  | +1.0608e+02 | 1.39e+02 | 1.11e-02 | 4.11e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  83   |  82   | 1224  | +1.0601e+02 | 1.39e+02 | 1.11e-02 | 4.01e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  84   |  83   | 1232  | +1.0595e+02 | 1.39e+02 | 1.11e-02 | 3.92e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  85   |  84   | 1240  | +1.0588e+02 | 1.39e+02 | 1.11e-02 | 3.83e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  86   |  85   | 1248  | +1.0582e+02 | 1.39e+02 | 1.11e-02 | 3.75e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  87   |  86   | 1257  | +1.0576e+02 | 1.39e+02 | 1.11e-02 | 3.76e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  88   |  87   | 1266  | +1.0570e+02 | 1.39e+02 | 1.11e-02 | 3.69e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  89   |  88   | 1275  | +1.0564e+02 | 1.39e+02 | 1.11e-02 | 3.61e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  90   |  89   | 1286  | +1.0558e+02 | 1.39e+02 | 1.11e-02 | 3.91e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  91   |  90   | 1297  | +1.0552e+02 | 1.39e+02 | 1.11e-02 | 3.75e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  92   |  91   | 1309  | +1.0546e+02 | 1.39e+02 | 1.11e-02 | 3.79e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  93   |  92   | 1321  | +1.0540e+02 | 1.39e+02 | 1.11e-02 | 3.57e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  94   |  93   | 1333  | +1.0535e+02 | 1.39e+02 | 1.11e-02 | 3.38e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  95   |  94   | 1346  | +1.0530e+02 | 1.39e+02 | 1.11e-02 | 3.28e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  96   |  95   | 1359  | +1.0525e+02 | 1.39e+02 | 1.11e-02 | 3.09e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  97   |  97   | 1372  | +1.0525e+02 | 1.39e+01 | 1.11e-02 | 3.09e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  98   |  98   | 1385  | +1.0527e+02 | 1.39e+01 | 1.11e-02 | 3.19e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  99   |  100  | 1398  | +1.0527e+02 | 1.39e+00 | 1.11e-02 | 3.19e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  100  |  102  | 1411  | +1.0527e+02 | 6.97e-01 | 1.11e-02 | 3.19e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  101  |  103  | 1422  | +1.0528e+02 | 6.97e-01 | 1.11e-02 | 2.82e-07 | 1.00e+00 |  2.00e-02   |   2   |
|  102  |  104  | 1433  | +1.0528e+02 | 6.97e-01 | 1.11e-02 | 2.72e-07 | 1.00e+00 |  2.00e-02   |   2   |
|  103  |  105  | 1444  | +1.0527e+02 | 6.97e-01 | 1.11e-02 | 2.66e-07 | 1.00e+00 |  2.00e-02   |   2   |
|  104  |  106  | 1456  | +1.0525e+02 | 6.97e-01 | 1.10e-02 | 2.60e-07 | 1.00e+00 |  2.00e-02   |   2   |
|  105  |  108  | 1467  | +1.0525e+02 | 3.48e-01 | 1.10e-02 | 2.60e-07 | 1.00e+00 |  2.00e-02   |   2   |
|  106  |  109  | 1475  | +1.0521e+02 | 6.97e-01 | 1.10e-02 | 2.59e-07 | 1.00e+00 |  2.00e-02   |   2   |
|  107  |  111  | 1486  | +1.0521e+02 | 3.48e-01 | 1.10e-02 | 2.59e-07 | 1.00e+00 |  2.00e-02   |   2   |
|  108  |  112  | 1494  | +1.0517e+02 | 6.97e-01 | 1.10e-02 | 2.58e-07 | 1.00e+00 |  2.00e-02   |   2   |
|  109  |  114  | 1505  | +1.0517e+02 | 3.48e-01 | 1.10e-02 | 2.58e-07 | 1.00e+00 |  2.00e-02   |   2   |
|  110  |  115  | 1513  | +1.0513e+02 | 6.97e-01 | 1.09e-02 | 2.56e-07 | 1.00e+00 |  2.00e-02   |   2   |
|  111  |  117  | 1525  | +1.0513e+02 | 3.48e-01 | 1.09e-02 | 2.56e-07 | 1.00e+00 |  2.00e-02   |   2   |
|  112  |  118  | 1534  | +1.0509e+02 | 6.97e-01 | 1.09e-02 | 2.53e-07 | 1.00e+00 |  2.00e-02   |   2   |
|  113  |  120  | 1546  | +1.0509e+02 | 3.48e-01 | 1.09e-02 | 2.53e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  114  |  121  | 1555  | +1.0505e+02 | 6.97e-01 | 1.09e-02 | 2.49e-07 | 1.00e+00 |  2.00e-02   |   2   |
|  115  |  123  | 1567  | +1.0505e+02 | 3.48e-01 | 1.09e-02 | 2.49e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  116  |  124  | 1576  | +1.0502e+02 | 6.97e-01 | 1.08e-02 | 2.46e-07 | 1.00e+00 |  2.00e-02   |   2   |
|  117  |  126  | 1588  | +1.0502e+02 | 3.48e-01 | 1.08e-02 | 2.46e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  118  |  127  | 1597  | +1.0498e+02 | 6.97e-01 | 1.08e-02 | 2.43e-07 | 1.00e+00 |  2.00e-02   |   2   |
|  119  |  128  | 1603  | +1.0493e+02 | 1.24e+00 | 1.07e-02 | 2.21e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  120  |  129  | 1609  | +1.0488e+02 | 1.24e+00 | 1.07e-02 | 2.18e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  121  |  130  | 1615  | +1.0483e+02 | 1.24e+00 | 1.07e-02 | 2.16e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  122  |  131  | 1621  | +1.0478e+02 | 1.24e+00 | 1.06e-02 | 2.14e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  123  |  132  | 1627  | +1.0473e+02 | 1.24e+00 | 1.06e-02 | 2.11e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  124  |  133  | 1633  | +1.0469e+02 | 1.24e+00 | 1.06e-02 | 2.09e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  125  |  134  | 1639  | +1.0464e+02 | 1.24e+00 | 1.05e-02 | 2.07e-07 | 1.00e+00 |  2.00e-02   |   4   |
